entry_id,chart_date,chart_position,track_id,artist_id,track_name,artist_name,region_id,country_name,streams
18343162,2021-12-07,58,96654,25647,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",66,United Kingdom,"116,024"
18343163,2021-12-07,59,13160,6804,THATS WHAT I WANT,Lil Nas X,66,United Kingdom,"115,014"
18343164,2021-12-07,60,30951,14422,Lonely This Christmas,Mud,66,United Kingdom,"114,177"
18343165,2021-12-07,61,30465,14238,Christmas (Baby Please Come Home),Darlene Love,66,United Kingdom,"114,094"
18343166,2021-12-07,62,13158,3580,Kiss Me More (feat. SZA),Doja Cat,66,United Kingdom,"110,679"
18343167,2021-12-07,63,33444,3635,Happier Than Ever,Billie Eilish,66,United Kingdom,"110,649"
18343168,2021-12-07,64,94235,36667,Tell Me Something Good,Ewan McVicar,66,United Kingdom,"108,669"
18343169,2021-12-07,65,29968,100,Christmas Lights,Coldplay,66,United Kingdom,"107,889"
18343170,2021-12-07,66,64702,4887,traitor,Olivia Rodrigo,66,United Kingdom,"105,229"
18343171,2021-12-07,67,64671,6804,MONTERO (Call Me By Your Name),Lil Nas X,66,United Kingdom,"105,142"
18343172,2021-12-07,68,93348,4882,My Heart Goes (La Di Da) (feat. Topic),Becky Hill,66,United Kingdom,"104,752"
18343173,2021-12-07,69,29952,342,Santa Claus Is Coming To Town,The Jackson 5,66,United Kingdom,"104,473"
18343174,2021-12-07,70,83456,85,Ghost,Justin Bieber,66,United Kingdom,"103,999"
18343175,2021-12-07,71,269,196,Mr. Brightside,The Killers,66,United Kingdom,"103,776"
18343176,2021-12-07,72,95507,10793,No Competition,D-Block Europe,66,United Kingdom,"102,766"
18343177,2021-12-07,73,98198,177,My Little Love,Adele,66,United Kingdom,"102,717"
18343178,2021-12-07,74,30459,14235,2000 Miles - 2007 Remaster,Pretenders,66,United Kingdom,"101,396"
18343179,2021-12-07,75,98331,38149,Alien Blues,Vundabar,66,United Kingdom,"100,550"
18343180,2021-12-07,76,64836,25698,2055,Sleepy Hallow,66,United Kingdom,"94,302"
18343181,2021-12-07,77,98420,3675,Wandered To LA (with Justin Bieber),Juice WRLD,66,United Kingdom,"93,607"
18343182,2021-12-07,78,98199,177,Can I Get It,Adele,66,United Kingdom,"93,341"
18343183,2021-12-07,79,92918,3580,Need to Know,Doja Cat,66,United Kingdom,"92,701"
18343184,2021-12-07,80,92916,36137,My Universe,"Coldplay, BTS",66,United Kingdom,"90,843"
18343185,2021-12-07,81,29958,8069,Santa Claus Is Coming to Town,Michael Bublé,66,United Kingdom,"90,396"
18343186,2021-12-07,82,92772,36089,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones",66,United Kingdom,"89,764"
18343187,2021-12-07,83,86387,33960,Where Are You Now,"Lost Frequencies, Calum Scott",66,United Kingdom,"88,741"
18343188,2021-12-07,84,6111,168,Blinding Lights,The Weeknd,66,United Kingdom,"88,592"
18343189,2021-12-07,85,94236,3720,I Wish (feat. Mabel),Joel Corry,66,United Kingdom,"88,110"
18343190,2021-12-07,86,92953,141,Girls Want Girls (with Lil Baby),Drake,66,United Kingdom,"87,091"
18343191,2021-12-07,87,94084,36611,Wasted,"Digga D, ArrDee",66,United Kingdom,"86,632"
18343192,2021-12-07,88,5229,3152,Sweater Weather,The Neighbourhood,66,United Kingdom,"86,369"
18343193,2021-12-07,89,30212,14145,Mistletoe and Wine,Cliff Richard,66,United Kingdom,"85,419"
18343194,2021-12-07,90,64781,3971,RAPSTAR,Polo G,66,United Kingdom,"84,485"
18343195,2021-12-07,91,29960,14032,The Christmas Song (Merry Christmas To You),Nat King Cole,66,United Kingdom,"83,859"
18343196,2021-12-07,92,39817,17501,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters",66,United Kingdom,"83,309"
18343197,2021-12-07,93,66290,26381,Ferrari Horses,"D-Block Europe, RAYE",66,United Kingdom,"82,635"
18343198,2021-12-07,94,85306,4880,Better Days,Dermot Kennedy,66,United Kingdom,"82,336"
18343199,2021-12-07,95,30094,349,Christmas (Baby Please Come Home),Mariah Carey,66,United Kingdom,"81,643"
18343200,2021-12-07,96,29969,14037,Run Rudolph Run - Single Version,Chuck Berry,66,United Kingdom,"80,790"
18343201,2021-12-07,97,9333,448,Why'd You Only Call Me When You're High?,Arctic Monkeys,66,United Kingdom,"79,118"
18343202,2021-12-07,98,93019,4882,Remember (and David Guetta),Becky Hill,66,United Kingdom,"78,712"
18343203,2021-12-07,99,64684,4887,deja vu,Olivia Rodrigo,66,United Kingdom,"78,293"
18343204,2021-12-07,100,2426,177,Rolling in the Deep,Adele,66,United Kingdom,"78,124"
18343205,2021-12-07,101,95508,6638,"Money Calling (feat. RAYE, Russ Millions & wewantwraiths)",Da Beatfreakz,66,United Kingdom,"78,067"
18343206,2021-12-07,102,92752,36082,Dark Red,Steve Lacy,66,United Kingdom,"77,479"
18343207,2021-12-07,103,96650,465,One Right Now (with The Weeknd),Post Malone,66,United Kingdom,"77,215"
18343208,2021-12-07,104,93272,36292,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,66,United Kingdom,"77,157"
18343209,2021-12-07,105,92946,141,Fair Trade (with Travis Scott),Drake,66,United Kingdom,"77,145"
18343210,2021-12-07,106,6209,2392,Someone You Loved,Lewis Capaldi,66,United Kingdom,"74,990"
18343211,2021-12-07,107,66272,26375,Black Magic,Jonasu,66,United Kingdom,"74,789"
18343212,2021-12-07,108,29945,1399,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,66,United Kingdom,"74,604"
18343213,2021-12-07,109,30012,14054,Mary's Boy Child / Oh My Lord,Boney M.,66,United Kingdom,"74,546"
18343214,2021-12-07,110,92940,17353,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,66,United Kingdom,"74,321"
18343215,2021-12-07,111,10161,5724,Another Love,Tom Odell,66,United Kingdom,"74,290"
18343216,2021-12-07,112,29946,665,Have Yourself A Merry Little Christmas,Sam Smith,66,United Kingdom,"74,088"
18343217,2021-12-07,113,29962,9666,"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,66,United Kingdom,"73,934"
18343218,2021-12-07,114,641,448,Do I Wanna Know?,Arctic Monkeys,66,United Kingdom,"73,890"
18343219,2021-12-07,115,64691,235,Levitating (feat. DaBaby),Dua Lipa,66,United Kingdom,"73,361"
18343220,2021-12-07,116,64808,232,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,66,United Kingdom,"73,013"
18343221,2021-12-07,117,64780,25683,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions",66,United Kingdom,"72,641"
18343222,2021-12-07,118,98336,177,To Be Loved,Adele,66,United Kingdom,"72,054"
18343223,2021-12-07,119,64640,2410,Beggin',Måneskin,66,United Kingdom,"72,048"
18343224,2021-12-07,120,64797,3720,Head & Heart (feat. MNEK),Joel Corry,66,United Kingdom,"71,600"
18343225,2021-12-07,121,92941,16699,Moth To A Flame (with The Weeknd),Swedish House Mafia,66,United Kingdom,"70,927"
18343226,2021-12-07,122,98341,177,Hold On,Adele,66,United Kingdom,"70,824"
18343227,2021-12-07,123,98202,38100,I AM WOMAN,Emmy Meli,66,United Kingdom,"70,563"
18343228,2021-12-07,124,473,177,Someone Like You,Adele,66,United Kingdom,"70,485"
18343229,2021-12-07,125,485,177,When We Were Young,Adele,66,United Kingdom,"70,333"
18343230,2021-12-07,126,29948,14027,A Holly Jolly Christmas - Single Version,Burl Ives,66,United Kingdom,"69,962"
18343231,2021-12-07,127,8497,472,Location (feat. Burna Boy),Dave,66,United Kingdom,"69,710"
18343232,2021-12-07,128,29999,64,Santa's Coming for Us,Sia,66,United Kingdom,"69,237"
18343233,2021-12-07,129,92957,34440,Toxic,BoyWithUke,66,United Kingdom,"68,198"
18343234,2021-12-07,130,4357,988,Dreams - 2004 Remaster,Fleetwood Mac,66,United Kingdom,"67,922"
18343235,2021-12-07,131,29951,9337,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,66,United Kingdom,"66,998"
18343236,2021-12-07,132,67989,22872,Essence (feat. Tems),WizKid,66,United Kingdom,"66,657"
18343237,2021-12-07,133,92956,177,Love In The Dark,Adele,66,United Kingdom,"66,494"
18343238,2021-12-07,134,86477,33991,Drive (feat. Wes Nelson),"Clean Bandit, Topic",66,United Kingdom,"65,619"
18343239,2021-12-07,135,68525,27387,Welcome To Brixton,SR,66,United Kingdom,"65,570"
18343240,2021-12-07,136,81759,472,Verdansk,Dave,66,United Kingdom,"65,496"
18343241,2021-12-07,137,271,197,Riptide,Vance Joy,66,United Kingdom,"65,380"
18343242,2021-12-07,138,23319,3971,Martin & Gina,Polo G,66,United Kingdom,"65,318"
18343243,2021-12-07,139,85530,5897,Infinity,Jaymes Young,66,United Kingdom,"65,264"
18343244,2021-12-07,140,64686,168,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,66,United Kingdom,"64,335"
18343245,2021-12-07,141,64690,2410,I WANNA BE YOUR SLAVE,Måneskin,66,United Kingdom,"64,334"
18343246,2021-12-07,142,305,179,No Role Modelz,J. Cole,66,United Kingdom,"64,260"
18343247,2021-12-07,143,98206,38101,Own Brand Freestyle,"FelixThe1st, Dreya Mac, Finch Fetti",66,United Kingdom,"64,168"
18343248,2021-12-07,144,29980,8235,My Only Wish (This Year),Britney Spears,66,United Kingdom,"63,919"
18343249,2021-12-07,145,6309,3691,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",66,United Kingdom,"63,910"
18343250,2021-12-07,146,97513,2292,Enchanted,Taylor Swift,66,United Kingdom,"63,886"
18343251,2021-12-07,147,30188,8069,I'll Be Home for Christmas,Michael Bublé,66,United Kingdom,"63,594"
18343252,2021-12-07,148,24846,448,505,Arctic Monkeys,66,United Kingdom,"63,121"
